Austria,24,12,23,5,10,27,15
Belgium,18,19,9,,,,
Bulgaria,11,,,,,,
Croatia,24,12,,,,,
Czech Republic,1,23,21,10,,,
Denmark,10,26,,,,,
Estonia,16,8,,,,,
Finland,7,26,,,,,
France,25,15,27,10,2,18,
Germany,9,19,2,6,5,1,21
Greece,3,,,,,,
Hungary,1,23,28,4,24,,
Iceland,,,,,,,
Ireland,29,,,,,,
Italy,1,24,9,27,,,
Latvia,17,7,,,,,
Lithuania,16,21,,,,,
Luxembourg,9,10,2,,,,
Netherlands,10,2,29,,,,
Norway,26,,,,,,
Poland,17,23,28,5,10,,
Portugal,25,,,,,,
Slovakia,1,12,5,21,28,,
Slovenia,4,15,1,12,,,
Spain,22,9,,,,,
Sweden,8,20,6,,,,
Switzerland,1,10,9,15,,,
Ukraine,21,23,12,,,,
United Kingdom,14,,,,,,
